"link href","picture src","common-text","common-text 2","common-text 3","common-text 4","common-text 5","common-text 6","common-text 7","common-text 8","common-text 9","common-text 10","common-text 11","common-text 12","common-text 13","common-text 14","common-text 15","common-text 17","common-text 19"
"https://auto.ria.com/uk/auto_jeep_grand-cherokee_38616085.html","https://cdn4.riastatic.com/photosnew/auto/photo/_grand-cherokee__607796799fx.jpg","Перевірений VIN","","Jeep Grand Cherokee 2014","IV покоління (FL)/WK2  •  3.6 AT (294 к.с.)  •  Limited","16 900 $","· 748 501 грн","290 тис. км","Автомат","Бензин, 3.6 л","Суми","Готовий до перевірок","Доступний кредит","всі питання по телефону дзвоніть на вайбер, на  авто ріа не пишіть","Хвилину тому","","","Був в ДТП"
"https://auto.ria.com/uk/auto_citroen_berlingo_38317015.html","https://cdn0.riastatic.com/photosnew/auto/photo/_berlingo__599353880fx.jpg","Перевірений VIN","CA 8919 BK","Citroen Berlingo 2004","I покоління (FL)  •  2.0 HDi MT (90 к.с.)  •  Base","3 700 $","· 163 873 грн","370 тис. км","Ручна / Механіка","Дизель, 2 л","Маньківка","Доступний кредит","Торг","Авто на повному ходу,повністю обслужений,масла не бере,не димить,11 років у сім'ї.
2.0HDI, 6л на 100км,детальніше по телефону
Балка після реставрації,всі три торсіони нові,щеплення замінене,диски і колодки замінені","Хвилину тому","","",""
"https://auto.ria.com/uk/auto_jeep_cherokee_39610222.html","https://cdn2.riastatic.com/photosnew/auto/photo/_cherokee__635068032fx.jpg","Перевірений VIN","AA 6690 EI","Jeep Cherokee 2017","V покоління/KL  •  3.2 AT (272 к.с.) 4WD  •  Trailhawk","14 700 $","· 651 063 грн","172 тис. км","Автомат","Газ/Бензин, 3.24 л","Київ","Готовий до перевірок","Доступний кредит","Машина просто всюдихід! Повний привід, всі режими працюють.
Ходова зроблена, двигун і коробка без нарікань. Встановлене ГБО, але вже потрібно робить. Я другий власник в Україні.","2 хвилини тому","Торг","",""
"https://auto.ria.com/uk/auto_nissan_rogue_39610234.html","https://cdn1.riastatic.com/photosnew/auto/photo/_rogue__635071026fx.jpg","Перевірений VIN","KE 9276 AX","Nissan Rogue 2016","","16 200 $","· 717 498 грн","140 тис. км","Автомат","Бензин, 2.5 л","Дніпро (Дніпропетровськ)","Доступний кредит","","Автомобиль в очень хорошем состоянии, полная (sl) комплектация: кожаный салон, лед оптика, подогрев сидений и руля, камеры 360 , без ключевой доступ и удаленный запуск, автоткрывание багажника ногой, панорамная крыша, хорошая штатная акустика с сабвуфером, электрорегулеровка  и память водительского сидения, круиз контроль, дистроник, двухзонный климат контроль и др. Автомобиль после легкого дтп в СШВ бат качественно восстановлен, безопасность осталась целой, по кузову 3 оригинальных элемента крашеных в прибор.  Автомобиль обслужен, заменено масло двигателя, полная замена масла коробки, по механике все в порядке. Для дальнейшей эксплуатации никаких вложений не требуется. Да, и стоит новый аккумулятор.","2 хвилини тому","","","Був в ДТП"
"https://auto.ria.com/uk/auto_ford_transit_39610223.html","https://cdn1.riastatic.com/photosnew/auto/photo/_transit__635069161fx.jpg","Перевірений VIN","AB 2413 BI","Ford Transit 1999","V покоління  •  2.0 150 L (116 к.с)  •  Base","4 200 $","· 186 018 грн","400 тис. км","Не вказано","2.5 л","Жмеринка","Вперше на AUTO.RIA","Доступний кредит","автомобіль у гарному стані 2.5 турбо усі питання по телефону","2 хвилини тому","Торг","",""
"https://auto.ria.com/uk/auto_vaz-lada_2107_39610231.html","https://cdn4.riastatic.com/photosnew/auto/photo/_2107__635069234fx.jpg","Перевірений VIN","AE 7805 KO","ВАЗ / Lada 2107 1987","","971 $","· 43 006 грн","56 тис. км","Ручна / Механіка","Бензин, 1.5 л","Дніпро (Дніпропетровськ)","","","Продам ваз 2107 
все вопросы по телефону","2 хвилини тому","","",""
"https://auto.ria.com/uk/auto_kia_sportage_39292082.html","https://cdn4.riastatic.com/photosnew/auto/photo/_sportage__626143029fx.jpg","Перевірений дилер","","Kia Sportage 2013","III покоління (FL)","15 400 $","· 682 066 грн","144 тис. км","Автомат","Дизель, 2 л","Київ","Готовий до перевірок","Доставка у ваше місто","Авто привезено з Південної Кореї, куплено на закритому аукціоні цілих авто, підтверджений пробіг, відмінний стан! Можливий кредит/лізінг, продаж з ПДВ на юр особу, будь-яка форма розрахунку! Деталі за телефоном!","3 хвилини тому","Доступний кредит","",""
"https://auto.ria.com/uk/auto_audi_a6_39610228.html","https://cdn2.riastatic.com/photosnew/auto/photo/_a6__635069547fx.jpg","Перевірений дилер","","Audi A6 2013","C7/4G","13 500 $","· 597 915 грн","167 тис. км","Автомат","Бензин, 3 л","Рівне (Рівненська)","Готовий до перевірок","Доставка у ваше місто","Вас вітає Artem Auto ! 

В наявності свіжопригнана Audi A6 C7 ! 
Технічно та косметично авто в дуже збереженому стані ! Пройдене повне т.о ! Замінено цепи та всі рідини ! Готові до будь-яких перевірок на сто ! Оригінальний пробіг , багата комплектація ! 
Авто розмитнене та готове до постановки на облік 
Запрошуємо на огляд та тест-драйв ! 
Рівне Данила Галицького 2-Б","3 хвилини тому","Доступний кредит","",""
"https://auto.ria.com/uk/auto_hyundai_kona-electric_39194041.html","https://cdn1.riastatic.com/photosnew/auto/photo/_kona-electric__635070046fx.jpg","Перевірений VIN","","Hyundai Kona Electric 2024","II покоління  •  Long Range 65.4 kWh (218 к.с.)","21 500 $","· 952 235 грн","25 тис. км","454 км","Електро, 65.4 кВт-год","Рівне (Рівненська)","Готовий до перевірок","Доступний кредит","Автомобіль у відмінному стані — хороша комплектація, всі необхідні опції для комфортного щоденного користування. Без пробігу по Україні.

Батарея в стані нової, підтримує як швидку, так і повільну зарядку без будь-яких зауважень. Запас ходу становить близько 450 км, що забезпечує зручність як у місті, так і на довших поїздках.

Авто доглянуте: повністю відполіроване та покрите воском. Виконана повна детейлінг-хімчистка салону.

Комплектація включає:
— безключовий доступ;
— електрорегулювання сидіння водія;
— підігрів передніх сидінь і керма;
— адаптивний круїз-контроль та утримання смуги;
— попередження про передні та задні перешкоди;
— контроль сліпих зон;
— додаткові системи безпеки та комфорту.

Надійний і комфортний електромобіль для щоденної експлуатації.

За додатковими питаннями — телефонуйте.","3 хвилини тому","Торг","","Був в ДТП"
"https://auto.ria.com/uk/auto_bmw_5-series_39581809.html","https://cdn0.riastatic.com/photosnew/auto/photo/_5-series__634209420fx.jpg","Перевірений VIN","KA 7449 KO","BMW 5 Series 2005","E60  •  520i AT (170 к.с)  •  Base","6 800 $","· 301 172 грн","322 тис. км","Автомат","Бензин, 2.17 л","Харків","Доступний кредит","Торг","авто на ходу стоїть газ є сколи подряпини мілкі салон гарний,треба дещо доробити щоб усунути помилки  ,люк робить не тече,нова гума,
він код офіційно продубльован ий на кузові з відміткою у тех паспорті","3 хвилини тому","Обмін","",""
"https://auto.ria.com/uk/auto_honda_insight_39235182.html","https://cdn2.riastatic.com/photosnew/auto/photo/_insight__631955967fx.jpg","","","Honda Insight 2019","III покоління  •  1.5 Hybrid e-CVT (152 к.с.)","15 900 $","· 704 211 грн","170 тис. км","Автомат","Гібрид, 1.5 л","Володимир","Готовий до перевірок","Доступний кредит","Авто свіжо пригнане, приїхало розібране,не бите, не фарбоване( рідна фарба),в хорошому стані 
Розхід 5-6л на 100км
Можлива доставка до вашого міста)","3 хвилини тому","Торг","","Був в ДТП"
"https://auto.ria.com/uk/auto_volkswagen_transporter_39610217.html","https://cdn2.riastatic.com/photosnew/auto/photo/_transporter__635063517fx.jpg","Перевірений VIN","KA 5818 PI","Volkswagen Transporter 2006","V покоління/T5","9 999 $","· 442 856 грн","101 тис. км","Ручна / Механіка","Газ/Бензин, 1.98 л","Київ","Доступний кредит","Торг","машина на повному ходу вкладень не потребує, ходова частина не гримить і не стукає, по мотору ніяких проблем немає, газ працює балон на 50 літрів стоїть, магнітола на Android на 10 дюймів стоїть камера заднього виду, стоять задні парктроніки все працює, електро скло працюють справно, стоїть сигналізація, машина вантажів не возила оригінальний пасажир 9 місць, кондиціонер працює стоїть 2 пічки, машина тонована дорогою плівкою разом з лобовим склом, гума зимова нова, днище оброблено, стоять льод лампи світ хороший кузов в довгій базі Лонг версія всі питання по телефону.","4 хвилини тому","","",""
"https://auto.ria.com/uk/auto_audi_a4-allroad_39609569.html","https://cdn4.riastatic.com/photosnew/auto/photo/_a4-allroad__635049799fx.jpg","Перевірений VIN","","Audi A4 Allroad 2017","B9/8W  •  3.0 TDI AT (272 к.с.) Quattro  •  S-Line","16 999 $","· 752 886 грн","292 тис. км","Автомат","Дизель, 2.97 л","Одеса","Доступний кредит","","Audi a4 b9 allroad 2017 року привезена в Україну в 22 році.
3.0 tdi 286 кінських сил. (двигун від Audi q7) коробка ZF 8-ступінчаста.
Пробіг 292 тис. км.
Гальмівна система диски зимерман колодки z23
Ланцюги рідні розтягнення 1.5 градуса з 4
Олія замінена в коробці Є запотівання по кришкам (передня, задня та клапанні)
Видалена екологія прошивка ККД
Нові кульові опори, тяги та наконечники, гальмівні диски та колодки.
Матрична передня оптика з автодальнім світлом
Задня повна LED оптика
Електрофаркоп панорамний дах без ключового доступу відкривання кришки багажника ногою
Комплект кованих 18-х дисків від q7 з зимовою гумою літо r17 ковані диски від a6c7 гума континенталь.
S line шкіряний салон чорна стеля підігрів+вентиляція сидінь, клімат контроль, car play максимальний з акустикою Bang&olufsen підсилювач в ніші докатки. Virtual cockpit (дисплей замість щитка приладів) докатка. qq2 багато рівневе підсвічування салону оригінальне. Комплект Ківрів.","4 хвилини тому","","",""
"https://auto.ria.com/uk/auto_renault_megane_39610201.html","https://cdn1.riastatic.com/photosnew/auto/photo/_megane__635025451fx.jpg","Перевірений VIN","","Renault Megane 2007","II покоління (FL)  •  1.6MPi MT (105 к.с.)  •  Base","4 900 $","· 217 021 грн","283 тис. км","Ручна / Механіка","Бензин, 1.6 л","Софіївська Борщагівка","Готовий до перевірок","Доступний кредит","Продам власне авто в справному технічному стані, перший власник в Україні.
Все працює без проблем круїз панорама підігрів дзеркал датчик світла дощу. 
Недоліки по кузову є на фото.
На початку осені міняв ремінь грм помпу фазорегулятор шків колінвала приводний ремінь корпус термостата (теплообмінник) антефриз .","5 хвилин тому","Торг","",""
"https://auto.ria.com/uk/auto_tesla_model-3_39610146.html","https://cdn2.riastatic.com/photosnew/auto/photo/_model-3__635066372fx.jpg","Перевірений VIN","","Tesla Model 3 2023","I покоління (2nd FL)  •  Performance 82.5 kWh (510 к.с.) AWD  •  Base","25 000 $","· 1 107 250 грн","34 тис. км","Не вказано","Електро","Київ","Готовий до перевірок","Доступний кредит","Свіжо пригнане авто з США, якісно відновлене, зауважень по авто немає.
Сертифікати та автопілот активні, оновлюється.
Також доступні інші автомобілі Tesla.","5 хвилин тому","","",""
"https://auto.ria.com/uk/auto_bmw_5-series_39610212.html","https://cdn1.riastatic.com/photosnew/auto/photo/_5-series__635066176fx.jpg","Перевірений VIN","AT 9000 EX","BMW 5 Series 2018","G30","26 500 $","· 1 173 685 грн","247 тис. км","Автомат","Дизель, 2 л","Івано-Франківськ","Готовий до перевірок","Доступний кредит","Автомобіль у ідеальному технічному та косметичному стані 
2.0 дизель (8л місто / 6.3 траса) 
Економний та динамічний автомобіль преміум класу у комплектації Luxury Line 
До 200тис машина була на продовженій гарантії. 
- ламані сидіння 
- 4-ох зонний клімат контроль 
- підігрів усіх сидінь 
- шторки задніх вікон
- М-гальма 
- адаптивна Led оптика з функцією вирізання 
- чорна стеля 
- тонована керамічною плівкою 
- повний антихром

На 200тис було замінено ланц, проведено заміну масла в коробці
Хто шукає обслужену та комфортну 5 серію , з повною прозорою історією - однозначно буде задоволений .","5 хвилин тому","Торг","",""
"https://auto.ria.com/uk/auto_volkswagen_id-3_39142109.html","https://cdn2.riastatic.com/photosnew/auto/photo/_id-3__621970552fx.jpg","Перевірений VIN","","Volkswagen ID.3 2020","I покоління  •  Performance 62 kWh (204 к.с.)  •  Pro","17 699 $","· 783 889 грн","130 тис. км","416 км","Електро, 62 кВт-год","Кривий Ріг","Готовий до перевірок","Доступний кредит","На обліку!  Охайне, збереженне авто з Нідерландів в чудовому білому перламутрі! Без підфарбувань та пошкоджень!. Комплектація 1-st (first edition) з преміальними матричними фарами! Готовий до всіляких  перевірок! 
 Достатньо опцій.
- чорна стеля
- матричні динамічні фари з вирізанням зустрічного та попутного авто
-  функція запобігання зіткнення авто
- асистент паркування  з гальмуванням авто при маневруванні, як вперед так і назад перед перешкодою
- асистент втоми водія
- асистент  утримання в полосі
- датчики світла та дощу
- динамічний круїз контроль
- підігріви передніх крісел та керма
- електро регулювання, 
підігріви та складання дзеркал, 
- авто затемнення салонного дзеркала
- підсвітка калюж
- керування з додатку у моб. телефоні кліматом в салоні, програмування на тиждень
- роз'єми для підзарядки моб телефонів
- підсвітка зовнішніх ручок дверей
 - асистент контролю тиску в шинах
- лімітатор швидкості
- двухзоний клімат контроль.
- безключевий доступ 
- передні/ задні парктроніки
- камера заднього ходу, два режими
- обновляється по повітрю
- 19"" оригінальні диски. На зимовій гумі.
Є питання- дзвоніть! 

До уваги помагаторів з продажу! Допомоги не потребую!","5 хвилин тому","","",""
"https://auto.ria.com/uk/auto_tesla_model-3_39610215.html","https://cdn4.riastatic.com/photosnew/auto/photo/_model-3__635069079fx.jpg","Перевірений VIN","","Tesla Model 3 2024","I покоління (2nd FL)  •  Maximum Range Dual Motor 82 kWh (498 к.с.) AWD  •  Base","30 000 $","· 1 328 700 грн","46 тис. км","Не вказано","Електро","Київ","Готовий до перевірок","Доступний кредит","Свіжо пригнане авто зі США.
Якісно відновлене. Автопілот та сертифікати активні, оновлюється. 
Зауважень по авто немає.","5 хвилин тому","","",""
"https://auto.ria.com/uk/auto_toyota_camry_39610200.html","https://cdn3.riastatic.com/photosnew/auto/photo/_camry__635064873fx.jpg","Перевірений VIN","BH 9193 EP","Toyota Camry 2008","VI покоління/XV40  •  2.4i AT (158 к.с.)  •  Base","8 000 $","· 354 320 грн","229 тис. км","Автомат","Газ/Бензин, 2.36 л","Київ","Готовий до перевірок","Доступний кредит","В продажі офіційний автомобіль Toyota Camry 40 2,4 газ/бензин. Збережений стан. Салон чистий, охайний. По ходовій збита, техенька. Двигун сухий, працює ідеально. Гарна комплектація:
 шкіряний салон
 парктронік зад/перед
 Авто світло 
 Авто дощь
 Круїз контроль
 Складання дзеркал заднього виду
 Омивача фар
 Підігрів сидінь
 Двох зоний клімат контроль
 Задня шторка
 Люк
Телефонуйте розповім більш детально.","5 хвилин тому","Торг","",""
"https://auto.ria.com/uk/auto_volkswagen_transporter_39610208.html","https://cdn4.riastatic.com/photosnew/auto/photo/_transporter__635069589fx.jpg","Перевірений VIN","BC 8399 XC","Volkswagen Transporter 2004","V покоління/T5","6 499 $","· 287 841 грн","327 тис. км","Ручна / Механіка","Дизель, 2.46 л","Самбір","Доступний кредит","Торг","В продажі Т-5 TRANSPORTET
Досить в збереженому стані 
Авто на повному бойовому ходу 
6-ступка 
6-місний 
Авто сів поїхав 
В додаток даю 4 зимові резини на дисках!!!
Деталі по телефону…","5 хвилин тому","","",""
"https://auto.ria.com/uk/auto_kia_niro_39278650.html","https://cdn1.riastatic.com/photosnew/auto/photo/_niro__625759686fx.jpg","Перевірений VIN","","Kia Niro 2020","I покоління (FL)  •  e-Niro 64 kWh (204 к.с.)  •  Prestige","18 700 $","· 828 223 грн","150 тис. км","Не вказано","Електро, 64 кВт-год","Дніпро (Дніпропетровськ)","Готовий до перевірок","Доступний кредит","KIA NIRO 64 kWh. Bref - 2020 рік. Автомобіль свіжопригнаний зі Нідерландів. Куплений на аукціоні в Європі. Без пробігу Україною. Стан нового авто. 
Жодного підкрасу, навіть косметичного. Гарний колір – темно сірий в металіку. Все скло по колу рідне. 
SOH 100%, ємність батареї максимальна. Вже з трьохфазною зарядкою, яка пішла з 2020року. Підтверджений пробіг. 
Запас ходу +500 км (в залежності від стилю їзди та кліматичних умов).
Максимально можлива комплектація - Prestige +: 
Шкіряний салон з перфорацією, 
Тепловий насос присутній 
Без ключовий доступ 
Датчики сліпих зон 
Елетрорегулювання сидіння водія з пам’яттю 
Підігрів передніх та задніх сидінь з вентиляцією 
Підігрів керма 
Бездротова зарядка 
Преміальна акустична система JBL 
Адаптивний круїз контроль 
Три режими рекуперації. 
Apple СarPlay + Android Auto 
Камери заднього виду з траєкторією руху + задні + передні парктроніки + система виявлення ззаду бокової перешкоди 
Система допомоги підтримки смуги руху 
Система попередження зіткнення 
Датчик контроля дистанції автомобіля (Дистроник) 
Оригінальні диски R17 на гарній гумі. Салон як новий. Два ключі, дві зарядки. По електроніці все працює. Сертифікат на руках, всі документи готові до поставновки на облік.","5 хвилин тому","","",""
"https://auto.ria.com/uk/auto_tesla_model-x_39478070.html","https://cdn1.riastatic.com/photosnew/auto/photo/_model-x__631296316fx.jpg","Перевірений VIN","AC 8416 YA","Tesla Model X 2023","I покоління (FL)  •  Long Range 100 kWh Dual Motor (670 к.с.) AWD  •  Base","61 000 $","· 2 701 690 грн","48 тис. км","Не вказано","Електро, 100 кВт-год","Ратне","Готовий до перевірок","Доступний кредит","Пригнане з США. Дефектоване страховою. Передня частина була розібрана чомусь, на фото з аукціону буде видно як саме. З пошкодженого був капот, лобове скло і права стійка пневмо-підвіски. Капот-мінімальне пошкодження, витягнули без покраски. Права пневмо-стійка-була змінена на оригінальну. Всі деталі інші стоять оригінальні в авто, жодна деталь не красилась і не рихтована(капот рихтований, але без покраски). Машина в ідеально стані. Пневма працює ідеально.
Ще є одна резина, купляв собі на запас, але без диска.","5 хвилин тому","Торг","Тільки на AUTO.RIA","Був в ДТП"
"https://auto.ria.com/uk/auto_volkswagen_passat_39608751.html","https://cdn1.riastatic.com/photosnew/auto/photo/_passat__635024231fx.jpg","","","Volkswagen Passat 2010","B6  •  1.4TSI MT (122 к.с.)  •  Comfortline","6 600 $","· 292 314 грн","250 тис. км","Ручна / Механіка","Бензин, 1.4 л","Мукачево","Готовий до перевірок","Доступний кредит","Дуже гарний стан
2010 рік
Обслужений","5 хвилин тому","Торг","",""
"https://auto.ria.com/uk/auto_renault_megane_39610206.html","https://cdn1.riastatic.com/photosnew/auto/photo/_megane__635069606fx.jpg","","","Renault Megane 2010","III покоління  •  1.6 MT (110 к.с.)  •  Base","6 500 $","· 287 885 грн","212 тис. км","Ручна / Механіка","Бензин, 1.6 л","Радивилів","Доступний кредит","","Свіжопригнаний
Розмитнений
Готовий до постановки на облік
Бензин 6 ти ступка
Чистий 2010 рік
Кондиціонер працює
Є фаркоп
Присутня косметика","5 хвилин тому","","",""
"https://auto.ria.com/uk/auto_hyundai_sonata_39610197.html","https://cdn0.riastatic.com/photosnew/auto/photo/_sonata__635067720fx.jpg","Перевірений VIN","BH 7978 PX","Hyundai Sonata 2013","","4 550 $","· 201 520 грн","124 тис. км","Автомат","Газ, 2 л","Одеса","Доступний кредит","","Автомобіль сів поїхав, двигун працює чітко без нарікань, гума хороша, по кузову незначні сліди експлуатації, салон цілий та охайний, документи на мені.
Ціна нижче ринку, торг мінімальний)","5 хвилин тому","","",""
"https://auto.ria.com/uk/auto_volkswagen_passat_39610205.html","https://cdn2.riastatic.com/photosnew/auto/photo/_passat__635069892fx.jpg","","","Volkswagen Passat 2013","I покоління/NMS  •  2.0 TDI DSG (150 к.с.)  •  SEL","8 999 $","· 398 566 грн","259 тис. км","Автомат","Дизель, 2 л","Тячів","Доступний кредит","","","5 хвилин тому","","","Був в ДТП"
"https://auto.ria.com/uk/auto_mitsubishi_outlander_39470633.html","https://cdn0.riastatic.com/photosnew/auto/photo/_outlander__631086730fx.jpg","","","Mitsubishi Outlander 2016","III покоління (FL)  •  2.4 CVT (167 к.с.)","9 600 $","· 425 184 грн","264 тис. км","Варіатор","Бензин, 2.36 л","Львів (Львівська)","","","Свіжопригнаний, розмитнений та сертифікований автомобіль, готовий до першої реєстрації, кузов, салон у дуже збереженому стані, мотор, ходова без зауважень, є питання по коробці","5 хвилин тому","","","Був в ДТП"
"https://auto.ria.com/uk/auto_toyota_auris_39610213.html","https://cdn0.riastatic.com/photosnew/auto/photo/_auris__635070080fx.jpg","Перевірений VIN","BH 3484 TO","Toyota Auris 2011","I покоління (FL)  •  1.8 FHEV CVT (99 к.с.)  •  Base","7 500 $","· 332 175 грн","276 тис. км","Автомат","Гібрид, 1.8 л","Одеса","Доступний кредит","","Продається авто. Купували пригнану з Європи. Гібрид, камера, кнопка старт та інше. Незначні подряпини по кузову - двері / бампера (на фото). Їсть масло - від заміни до заміни приблизно 3 л. Їздити як є, чи встановити інший двигун (приблизно - 800-1000 долл.) чи перебрати існуючий - вибір покупця. По ходовці - сайлентблоки і тяжки стаба - приблизно 6 000 грн.","5 хвилин тому","","",""
